Country,Amount,Date
"Eritrea","50.77",2000
"Israel","27.35",2000
"Jordan","21.68",2000
"United Arab Emirates","21.48",2000
"Qatar","20.21",2000
"Oman","20.07",2000
"Lebanon","19.78",2000
"Syria","19.3",2000
"Bahrain","16.46",2000
"Albania","16.34",2000
"Singapore","14.9",2000
"Libya","14.68",2000
"Greece","14.56",2000
"South Korea","14.53",2000
"Croatia","13.78",2000
"Middle Eastern and North Africa average","13.63",2000
"Armenia","13.33",2000
"Cambodia","11.45",2000
"Djibouti","11.07",2000
"Bhutan","10.63",2000
"Cyprus","10.6",2000
"Russia","10.39",2000
"Saudi Arabia","10.03",2000
"Bulgaria","9.79",2000
"OPEC countries average","9.66",2000
"Turkey","9.66",2000
"Romania","9.22",2000
"Azerbaijan","8.95",2000
"Rwanda","8.34",2000
"Belarus","8.3",2000
"Kuwait","7.87",2000
"Iran","7.78",2000
"Angola","7.76",2000
"Slovakia","7.24",2000
"Uruguay","7.23",2000
"Burma","7.1",2000
"Muslim countries average","6.98",2000
"Morocco","6.9",2000
"Egypt","6.77",2000
"Vietnam","6.23",2000
"Heavily indebted countries average","6.23",2000
"Finland","6.18",2000
"Ukraine","6.18",2000
"Georgia","6.11",2000
"Sri Lanka","6.02",2000
"Norway","6.01",2000
"Burundi","5.99",2000
"Sweden","5.97",2000
"Mauritania","5.91",2000
"NATO countries average","5.76",2000
"Czech Republic","5.65",2000
"Poland","5.64",2000
"European Union average","5.64",2000
"Chile","5.63",2000
"Guinea-Bissau","5.5",2000
"High income OECD countries average","5.49",2000
"Laos","5.38",2000
"Former Soviet republics average","5.38",2000
"Ethiopia","5.33",2000
"Malta","5.24",2000
"Cuba","5.21",2000
"Botswana","5.13",2000
"Eurozone average","5.11",2000
"Former British colonies average","5",2000
"Austria","4.99",2000
"Fiji","4.93",2000
"Non-religious countries average","4.85",2000
"United States","4.84",2000
"Thailand","4.83",2000
"France","4.83",2000
"Catholic countries average","4.8",2000
"Namibia","4.74",2000
"Ecuador","4.63",2000
"Slovenia","4.53",2000
"Former French colonies average","4.44",2000
"Peru","4.42",2000
"Italy","4.41",2000
"Portugal","4.4",2000
"Hungary","4.31",2000
"Kazakhstan","4.3",2000
"South Asia average","4.29",2000
"Suriname","4.29",2000
"Emerging markets average","4.29",2000
"Pakistan","4.25",2000
"Belize","4.19",2000
"Spain","4.12",2000
"Denmark","4.12",2000
"Malaysia","4.1",2000
"Gabon","4.08",2000
"Algeria","3.91",2000
"Switzerland","3.9",2000
"Colombia","3.81",2000
"Belgium","3.8",2000
"Bolivia","3.77",2000
"Yemen","3.77",2000
"Mongolia","3.75",2000
"Sudan","3.75",2000
"Barbados","3.74",2000
"Paraguay","3.74",2000
"Lithuania","3.71",2000
"Tunisia","3.66",2000
"Estonia","3.65",2000
"Chad","3.61",2000
"United Kingdom","3.6",2000
"Group of 7 countries (G7) average","3.45",2000
"Sub-Saharan Africa average","3.4",2000
"The Bahamas","3.36",2000
"Netherlands","3.27",2000
"Zimbabwe","3.2",2000
"South and Central Asia average","3.16",2000
"Ireland","3.15",2000
"Nicaragua","3.14",2000
"Turkmenistan","3.11",2000
"Former Spanish colonies average","3.03",2000
"El Salvador","2.85",2000
"Dominican Republic","2.77",2000
"Guatemala","2.77",2000
"Germany","2.69",2000
"Guyana","2.69",2000
"Australia","2.66",2000
"Latin America and Caribbean average","2.45",2000
"Uzbekistan","2.39",2000
"Trinidad and Tobago","2.37",2000
"New Zealand","2.33",2000
"Venezuela","2.29",2000
"Luxembourg","2.29",2000
"Cape Verde","2.26",2000
"China","2.23",2000
"Zambia","2.18",2000
"Nepal","2.16",2000
"Latvia","2.11",2000
"Uganda","2.06",2000
"Equatorial Guinea","1.93",2000
"Argentina","1.92",2000
"Canada","1.92",2000
"Japan","1.87",2000
"Mexico","1.86",2000
"Kyrgyzstan","1.84",2000
"Brazil","1.65",2000
"Togo","1.44",2000
"South Africa","1.43",2000
"Indonesia","1.42",2000
"Philippines","1.37",2000
"Madagascar","1.33",2000
"Honduras","1.28",2000
"India","1.25",2000
"Jamaica","1.16",2000
"Guinea","1.14",2000
"Lesotho","1.08",2000
"Bangladesh","1.03",2000
"Tajikistan","0.97",2000
"Senegal","0.913",2000
"Central African Republic","0.825",2000
"Cameroon","0.816",2000
"The Gambia","0.814",2000
"Papua New Guinea","0.744",2000
"Sierra Leone","0.725",2000
"Benin","0.719",2000
"Kenya","0.703",2000
"Mali","0.682",2000
"Nigeria","0.619",2000
"Burkina Faso","0.603",2000
"Cote d'Ivoire","0.496",2000
"Niger","0.455",2000
"Malawi","0.442",2000
"Ghana","0.372",2000
"Mozambique","0.328",2000
"Democratic Republic of the Congo","0.213",2000
"Swaziland","0.0",2000
"Dominica","0.0",2000
"Vanuatu","0.0",2000
"Mauritius","0.0",2000
"Panama","0.0",2000
"Costa Rica","0.0",2000
"Maldives","0.0",2000
"Sao Tome and Principe","0.0",2000
"Saint Vincent and the Grenadines","0.0",2000
"Solomon Islands","0.0",2000
"Saint Lucia","0.0",2000
"Saint Kitts and Nevis","0.0",2000
"Haiti","0.0",2000
"Grenada","0.0",2000
"Seychelles","0.0",2000
"Antigua and Barbuda","0.0",2000
"Iceland","0.0",2000
"Comoros","0.0",2000
