Country,Amount,Date
"Niger","53.38 per 1,000 people",2005
"Afghanistan","51.05 per 1,000 people",1987
"East Timor","50.74 per 1,000 people",2005
"Uganda","50.66 per 1,000 people",2005
"Guinea-Bissau","49.59 per 1,000 people",2005
"Liberia","49.58 per 1,000 people",2005
"Democratic Republic of the Congo","49.56 per 1,000 people",2005
"Mali","48.73 per 1,000 people",2005
"Chad","48.5 per 1,000 people",2005
"Angola","47.81 per 1,000 people",2005
"Burkina Faso","46.46 per 1,000 people",2005
"Sierra Leone","46.3 per 1,000 people",2005
"Burundi","45.44 per 1,000 people",2005
"Congo, Republic of the","44.26 per 1,000 people",2005
"Somalia","44.05 per 1,000 people",2005
"Equatorial Guinea","43.08 per 1,000 people",2005
"Malawi","42.84 per 1,000 people",2005
"Marshall Islands","41.8 per 1,000 people",1999
"Rwanda","41 per 1,000 people",2005
"Benin","40.93 per 1,000 people",2005
"Guinea","40.75 per 1,000 people",2005
"Nigeria","40.51 per 1,000 people",2005
"Mauritania","40.47 per 1,000 people",2005
"Zambia","40.34 per 1,000 people",2005
"Yemen","40.03 per 1,000 people",2005
"Kenya","39.22 per 1,000 people",2005
"Ethiopia","39.12 per 1,000 people",2005
"Mozambique","38.77 per 1,000 people",2005
"Eritrea","38.71 per 1,000 people",2005
"failed states average","38.69 per 1,000 people",2005
"Iraq","38.32 per 1,000 people",1997
"Sub-Saharan Africa average","38.19 per 1,000 people",2005
"Madagascar","37.99 per 1,000 people",2005
"Togo","37.92 per 1,000 people",2005
"Central African Republic","36.83 per 1,000 people",2005
"Tanzania","36.4 per 1,000 people",2005
"Cote d'Ivoire","36.29 per 1,000 people",2005
"Senegal","35.95 per 1,000 people",2005
"Former French colonies average","34.39 per 1,000 people",2005
"Comoros","34.35 per 1,000 people",2005
"Guatemala","34.33 per 1,000 people",2005
"Laos","34.28 per 1,000 people",2005
"Cameroon","34.19 per 1,000 people",2005
"Djibouti","34.16 per 1,000 people",2005
"The Gambia","33.76 per 1,000 people",2005
"Swaziland","33.67 per 1,000 people",2005
"Sao Tome and Principe","32.97 per 1,000 people",2005
"Sudan","31.7 per 1,000 people",2005
"Solomon Islands","31.58 per 1,000 people",2005
"Ghana","30.63 per 1,000 people",2005
"Federated States of Micronesia","30.46 per 1,000 people",2005
