Country,Amount,Date
"Turkmenistan","7",2011
"Tanzania","7",2012
"Tajikistan","7",2012
"Afghanistan","7",2011
"Indonesia","7",2011
"Finland","7",2011
"Guinea","7",2012
"El Salvador","7",2012
"Tuvalu","7",2011
"Rwanda","7",2012
"Estonia","7",2010
"Uzbekistan","7",2011
"Suriname","7",2012
"Hungary","7",2011
"Serbia","7",2012
"Lithuania","7",2011
"Eritrea","7",2012
"Sweden","7",2011
"Mali","7",2012
"Bulgaria","7",2011
"Romania","7",2010
"South Africa","7",2012
"Latvia","7",2011
"Niger","7",2012
"Gambia","7",2011
"Croatia","7",2010
"Switzerland","7",2011
"Zambia","7",2012
"Kazakhstan","7",2012
"Poland","7",2010
"Kyrgyzstan","7",2012
"Canada","6",2011
"East Timor","6",2011
"Swaziland","6",2011
"Palestine","6",2012
"Cameroon","6",2012
"Burkina Faso","6",2012
"Bosnia and Herzegovina","6",2012
"Liberia","6",2011
"Monaco","6",2012
"Madagascar","6",2012
"South Korea","6",2011
"Turkey","6",2010
"France","6",2011
"Slovakia","6",2011
"Nauru","6",2011
"Norway","6",2011
"Malawi","6",2011
"Montenegro","6",2011
"Bahrain","6",2012
"Libya","6",2011
"Central African Republic","6",2012
"Bangladesh","6",2012
"Liechtenstein","6",2011
"Portugal","6",2011
"Malaysia","6",2011
"Luxembourg","6",2010
"Andorra","6",2012
"Ireland","6",2011
"Palau","6",2011
"Nigeria","6",2011
"Thailand","6",2011
"Hong Kong","6",2012
"Sierra Leone","6",2012
"Georgia","6",2012
"Denmark","6",2011
"Philippines","6",2011
"Moldova","6",2011
"Morocco","6",2012
"Lebanon","6",2012
"Fiji","6",2011
"Qatar","6",2012
"Italy","6",2011
"Sudan","6",2010
"Maldives","6",2011
"Senegal","6",2012
"Zimbabwe","6",2011
"Jordan","6",2011
"Mauritania","6",2012
"Trinidad and Tobago","6",2012
"Syria","6",2012
"Republic of Macedonia","6",2011
"Paraguay","6",2012
"Botswana","6",2011
"Sao Tome and Principe","6",2012
"Aruba","6",2012
"Bolivia","6",2012
"Saudi Arabia","6",2012
"Cape Verde","6",2012
"Slovenia","6",2011
"Guatemala","6",2012
"Spain","6",2011
"Gabon","6",2011
"Yemen","6",2012
"Jamaica","6",2012
"Albania","6",2011
"Equatorial Guinea","6",2012
"United Arab Emirates","6",2012
"India","6",2012
"Azerbaijan","6",2012
"Kenya","6",2011
"Czech Republic","6",2011
"Solomon Islands","6",2012
"San Marino","6",2012
"Cyprus","6",2010
"Mongolia","6",2012
"Laos","6",2012
"Benin","6",2012
"Federated States of Micronesia","6",2011
"Cuba","6",2012
"Togo","6",2012
"China","6",2012
"Armenia","6",2012
"Ukraine","6",2011
"Tonga","6",2012
"United States","6",2011
"Vietnam","6",2012
"Russia","6",2011
"Angola","6",2011
"Chad","6",2012
"Austria","6",2011
"Mozambique","6",2012
"Uganda","6",2011
"Japan","6",2011
"Brazil","6",2012
"Brunei","6",2012
"Belarus","6",2012
"Iran","6",2012
"Algeria","6",2012
"Marshall Islands","6",2012
"Chile","6",2012
"Belgium","6",2011
"Kiribati","6",2011
"Haiti","6",2012
"Iraq","6",2011
"Guinea-Bissau","6",2011
"Seychelles","6",2011
"Egypt","6",2011
"Djibouti","6",2012
"Nicaragua","6",2012
"Democratic Republic of the Congo","6",2012
"Kuwait","6",2012
"Iceland","6",2011
"Germany","6",2011
"North Korea","6",2011
"South Sudan","6",2011
"Guyana","6",2012
"Honduras","6",2012
"Tunisia","6",2012
"Singapore","6",2011
"Namibia","6",2012
"Comoros","6",2012
"Dominica","5",2012
"Netherlands","5",2011
"Dominican Republic","5",2012
"Mauritius","5",2012
"Barbados","5",2012
"Costa Rica","5",2011
"Australia","5",2011
"Netherlands Antilles","5",2012
"Belize","5",2012
"Colombia","5",2012
"Anguilla","5",2012
"Israel","5",2011
"United Kingdom","5",2011
"Greece","5",2011
"Argentina","5",2012
"The Bahamas","5",2012
"Pakistan","5",2012
"Niue","5",2011
"Samoa","5",2012
"New Zealand","5",2011
"Macau","5",2012
"Saint Vincent and the Grenadines","5",2012
"Saint Lucia","5",2012
"Bermuda","5",2012
"Peru","5",2012
"Cook Islands","5",2012
"Saint Kitts and Nevis","5",2012
"Cayman Islands","5",2012
"British Virgin Islands","5",2012
"Puerto Rico","5",2012
"Grenada","5",2012
"Antigua and Barbuda","5",2012
"Malta","5",2010
"Montserrat","5",2012
"Burma","5",2011
"Sri Lanka","5",2011
"Turks and Caicos Islands","4",2012
"Panama","4",2012
"Gibraltar","4",2011
"Mexico","4",2012
"Ghana","4",2012
"Uruguay","4",2012
"Ecuador","3",2012
"Venezuela","3",2012
"Ethiopia","0.0",2010
"Holy See (Vatican City)","0.0",2009
"Nepal","0.0",2011
"Cambodia","0.0",2010
"Oman","0.0",2009
"Bhutan","0.0",2011
