Country,Amount,Date
"Yemen","32.78%",2000
"Lesotho","29.82%",2005
"Kenya","29.19%",2004
"Malaysia","28.02%",2003
"Saudi Arabia","27.57%",2004
"Thailand","27.53%",2004
"United Arab Emirates","27.43%",2005
"Djibouti","27.32%",2005
"Morocco","27.23%",2005
"Vanuatu","26.71%",2001
"Guinea","25.62%",2000
"Cape Verde","25.44%",2005
"Madagascar","25.3%",2005
"Malawi","24.58%",1999
"Oman","24.23%",2005
"Comoros","24.12%",2002
"Mexico","23.82%",2003
"Hong Kong","22.99%",2005
"Iran","22.85%",2005
"Mongolia","22.71%",1991
"Algeria","22.05%",1991
"Cote d'Ivoire","21.6%",2005
"Botswana","21.55%",2005
"Moldova","21.15%",2005
"Namibia","21.04%",2000
"New Zealand","20.92%",2003
"Jordan","20.6%",1999
"Fiji","20.04%",2002
"Haiti","20.01%",1991
"El Salvador","20%",2002
"The Bahamas","19.67%",2000
"Turkmenistan","19.65%",1991
"Azerbaijan","19.58%",2005
"Swaziland","19.51%",1991
"Mozambique","19.47%",2004
"Ethiopia","19.4%",2005
"Senegal","18.93%",2005
"Ukraine","18.9%",2005
"Kyrgyzstan","18.65%",2001
"Niger","18.58%",1991
"Costa Rica","18.53%",2004
"Chile","18.47%",2004
"Uganda","18.29%",2004
"Singapore","18.22%",1991
"Tunisia","18.2%",2001
"Belize","18.12%",2003
"Burma","18.12%",2001
"Bolivia","18.06%",2003
"Tajikistan","18.04%",2005
"South Africa","17.85%",2005
"Uzbekistan","17.81%",1991
"Burundi","17.73%",2005
"Philippines","17.22%",2003
"Venezuela","17.04%",1991
"Bermuda","17%",1998
"Iceland","16.95%",2003
"Saint Lucia","16.91%",2005
"Burkina Faso","16.64%",2005
"Cuba","16.58%",2005
"Barbados","16.4%",2005
"Cyprus","16.23%",2003
"Saint Vincent and the Grenadines","16.09%",2005
"Marshall Islands","15.76%",2003
"Norway","15.73%",2003
"Lithuania","15.66%",2003
"Estonia","15.44%",2003
"Aruba","15.43%",2005
"Latvia","15.37%",2003
"United States","15.25%",2003
"South and Central Asia average","15.14%",1991
"Denmark","15.08%",2003
"Maldives","15%",2005
"Nicaragua","15%",2002
"South Korea","14.98%",2003
"Nepal","14.89%",2003
"Mali","14.83%",2005
"Zambia","14.8%",2004
"Cambodia","14.65%",2000
"Guyana","14.53%",2005
"Mauritius","14.26%",2005
"Bangladesh","14.24%",2005
"Syria","14.2%",1991
"Benin","14.14%",2005
"Macau","14.03%",2004
"Peru","13.7%",2005
"Israel","13.69%",2003
"Samoa","13.67%",2002
"Turkey","13.6%",2005
"Togo","13.55%",2002
"Tonga","13.5%",2003
"Trinidad and Tobago","13.4%",2001
"Australia","13.32%",2000
"Ireland","13.15%",2003
"Georgia","13.14%",2004
"Guatemala","13.02%",1991
"China","12.97%",1999
"Switzerland","12.96%",2003
"High income OECD countries average","12.93%",2003
"Grenada","12.86%",2003
"Bhutan","12.86%",2001
"Sweden","12.83%",2003
"Finland","12.82%",2003
"Bahrain","12.8%",1991
"Netherlands Antilles","12.8%",2001
"Saint Kitts and Nevis","12.71%",2003
"Kuwait","12.7%",2005
"Slovenia","12.56%",2003
"Canada","12.46%",2001
"Portugal","12.41%",2003
"Poland","12.29%",2002
"Rwanda","12.25%",2005
"Russia","12.25%",2003
"Kazakhstan","12.09%",2000
"Argentina","12.02%",2003
"Eurozone average","12%",2003
"United Kingdom","11.93%",2003
"Guinea-Bissau","11.86%",1999
"Belgium","11.85%",2003
"Laos","11.71%",2005
"Tanzania","11.37%",1991
"Group of 7 countries (G7) average","11.35%",2003
"Belarus","11.33%",2005
"Spain","11.19%",2003
"Slovakia","11.18%",2003
"Colombia","11.06%",2005
"France","11.03%",2003
"Lebanon","10.99%",2005
"Pakistan","10.94%",2005
"Brazil","10.86%",2002
"Austria","10.83%",2003
"Netherlands","10.78%",2003
"Paraguay","10.75%",2003
"India","10.74%",2003
"Seychelles","10.7%",1998
"Japan","10.68%",2003
"Hungary","10.25%",2002
"Chad","10.12%",2005
"Malta","10.09%",2002
"Croatia","9.99%",2002
"Vietnam","9.73%",1991
"Germany","9.72%",2003
"Dominican Republic","9.7%",2005
"Gabon","9.61%",1998
"Jamaica","9.54%",2003
"Italy","9.5%",2003
"Brunei","9.14%",2000
"Indonesia","9.03%",2002
"Panama","8.95%",2004
"The Gambia","8.95%",2002
"Cameroon","8.57%",2005
"Czech Republic","8.51%",2003
"Luxembourg","8.5%",1999
"Albania","8.43%",2002
"Sri Lanka","8.41%",1991
"Mauritania","8.31%",2005
"Congo, Republic of the","8.09%",2005
"Ecuador","8.01%",2000
"Greece","7.98%",2003
"Solomon Islands","7.94%",1991
"Uruguay","7.86%",2003
"Angola","6.35%",1999
"Monaco","5.07%",1999
"Equatorial Guinea","4.01%",2003
"Sudan","2.75%",1991
