Country,Amount,Date
"Eritrea","23.55%",2003
"Saudi Arabia","11.18%",2009
"Oman","7.66%",2008
"Israel","6.93%",2009
"East Timor","6.81%",2009
"Chad","6.52%",2009
"Iraq","6.31%",2009
"Jordan","6.06%",2009
"Georgia","5.63%",2009
"United Arab Emirates","5.6%",2007
"United States","4.64%",2009
"Middle Eastern and North Africa average","4.57%",2007
"Russia","4.33%",2009
"Singapore","4.32%",2009
"Sudan","4.22%",2006
"Syria","4.16%",2009
"Lebanon","4.14%",2009
"Colombia","4.14%",2009
"Armenia","4.04%",2009
"Guinea-Bissau","4.01%",2005
"Greece","3.99%",2009
"Zimbabwe","3.85%",2005
"Mauritania","3.79%",2009
"Algeria","3.76%",2009
"Burundi","3.75%",2008
"Djibouti","3.69%",2008
"Kyrgyzstan","3.59%",2008
"Sri Lanka","3.54%",2009
"Azerbaijan","3.49%",2009
"OPEC countries average","3.38%",2007
"Morocco","3.36%",2009
"Ecuador","3.35%",2009
"Namibia","3.25%",2009
"Muslim countries average","3.25%",2004
"Botswana","3.21%",2009
"Cuba","3.17%",2004
"Pakistan","3.13%",2009
"Kuwait","3.11%",2008
"Chile","3.08%",2009
"Lesotho","3.03%",2009
"Bahrain","2.97%",2008
"India","2.97%",2009
"Turkmenistan","2.9%",1999
"Ukraine","2.85%",2009
"Former Soviet republics average","2.83%",2008
"Turkey","2.76%",2009
"Religious countries average","2.71%",2008
"United Kingdom","2.71%",2009
"Brunei","2.66%",2007
"Latvia","2.6%",2009
"Qatar","2.47%",2007
"France","2.41%",2009
"South Asia average","2.39%",2008
"Eastern Europe average","2.35%",2009
"Bulgaria","2.34%",2009
"Estonia","2.29%",2009
"Sierra Leone","2.28%",2008
"Serbia and Montenegro","2.23%",2009
"Guinea","2.23%",2004
"Rwanda","2.23%",2009
"Vietnam","2.2%",2009
"Former French colonies average","2.19%",2008
"Group of 7 countries (G7) average","2.18%",2009
"Swaziland","2.17%",2007
"Tajikistan","2.17%",2004
"Afghanistan","2.12%",2008
"Albania","2.1%",2009
"Equatorial Guinea","2.1%",1995
"Emerging markets average","2.06%",2009
"Australia","2.05%",2009
"Malaysia","2.03%",2009
"Sub-Saharan Africa average","2.03%",2005
"Portugal","2.02%",2009
"Poland","2.02%",2009
"China","2.01%",2009
"Uganda","1.98%",2009
"Togo","1.97%",2008
"Mali","1.96%",2009
"High income OECD countries average","1.96%",2009
"Kenya","1.9%",2009
"Non-religious countries average","1.89%",2009
"NATO countries average","1.83%",2009
"Cyprus","1.83%",2008
"Belarus","1.83%",2009
"Europe average","1.82%",2007
"European Union","1.82%",2009
"Croatia","1.81%",2009
"Central African Republic","1.79%",2009
"Thailand","1.79%",2009
"Eurozone average","1.77%",2009
"European Union average","1.77%",2009
"Slovenia","1.75%",2009
"Lithuania","1.73%",2009
"Italy","1.69%",2009
"Brazil","1.66%",2009
"Zambia","1.66%",2009
"Bolivia","1.65%",2009
"Senegal","1.63%",2008
"Nepal","1.62%",2009
"Cote d'Ivoire","1.58%",2008
"Cameroon","1.57%",2009
"Uruguay","1.56%",2009
"Bosnia and Herzegovina","1.54%",2009
"Czech Republic","1.54%",2009
"Netherlands","1.53%",2009
"Finland","1.51%",2009
"Slovakia","1.5%",2009
"South Africa","1.48%",2009
"Canada","1.46%",2009
"Norway","1.46%",2009
"Mongolia","1.44%",2007
"Ethiopia","1.42%",2009
"Romania","1.42%",2009
"Denmark","1.39%",2009
"Tunisia","1.37%",2009
"Fiji","1.36%",2008
"Germany","1.36%",2009
"Burkina Faso","1.35%",2009
"Burma","1.35%",2002
"Congo, Republic of the","1.32%",2008
"Hungary","1.31%",2009
"Sweden","1.3%",2009
"Venezuela","1.28%",2009
"Spain","1.26%",2009
"Former Spanish colonies average","1.24%",2009
"Kazakhstan","1.23%",2009
"Belize","1.19%",2008
"Cambodia","1.19%",2008
"Malawi","1.18%",2007
"Libya","1.18%",2008
"Peru","1.18%",2009
"New Zealand","1.15%",2009
"Belgium","1.15%",2009
"Tanzania","1.14%",2009
"Bangladesh","1.14%",2009
"Democratic Republic of the Congo","1.14%",2009
"Madagascar","1.09%",2008
"Gabon","1.06%",2007
"Benin","1.01%",2008
"Japan","1.01%",2009
"Niger","0.98%",2005
"Liberia","0.95%",2009
"Austria","0.9%",2009
"Indonesia","0.89%",2009
"Nigeria","0.89%",2009
"Mozambique","0.88%",2009
"Philippines","0.85%",2009
"Paraguay","0.84%",2009
"Switzerland","0.81%",2008
"Seychelles","0.79%",2009
"Guyana","0.79%",1996
"Argentina","0.76%",2009
"Honduras","0.76%",2009
"Somalia","0.75%",1989
"Luxembourg","0.72%",2007
"Ghana","0.72%",2009
"The Gambia","0.7%",2007
"Nicaragua","0.65%",2009
"Ireland","0.63%",2009
"El Salvador","0.61%",2009
"Cape Verde","0.58%",2008
"Dominican Republic","0.57%",2009
"Uzbekistan","0.54%",2003
"Mexico","0.54%",2009
"Jamaica","0.54%",2008
"Papua New Guinea","0.5%",2009
"Moldova","0.47%",2009
"Guatemala","0.45%",2009
"Laos","0.39%",2008
"Mauritius","0.18%",2008
"Iceland","0.08%",2009
"Panama","0.0",2009
"Costa Rica","0.0",2009
"Haiti","0.0",2009
"Malta","0.0",2007
