Country,Amount,Date
"Dominica","422.07%
 per 1 million people",2002
"Sao Tome and Principe","353.02%
 per 1 million people",2004
"Grenada","315.58%
 per 1 million people",2000
"Bermuda","305.81%
 per 1 million people",2000
"Virgin Islands","265.6%
 per 1 million people",2002
"Federated States of Micronesia","249.32%
 per 1 million people",2000
"Tonga","205.27%
 per 1 million people",2007
"Greenland","163.28%
 per 1 million people",2007
"Suriname","158.85%
 per 1 million people",2002
"Guam","145.62%
 per 1 million people",2001
"Belize","126.32%
 per 1 million people",2002
"Comoros","106.45%
 per 1 million people",2002
"Andorra","96.82%
 per 1 million people",2008
"Djibouti","84.61%
 per 1 million people",2007
"Cape Verde","66.58%
 per 1 million people",2000
"Swaziland","61.27%
 per 1 million people",2006
"Gaza Strip","53.97%
 per 1 million people",2007
"East Timor","47.92%
 per 1 million people",2003
"Maldives","41.46%
 per 1 million people",2008
"Bhutan","34%
 per 1 million people",2008
"Fiji","29.88%
 per 1 million people",2006
"The Bahamas","29.18%
 per 1 million people",2004
"Lesotho","27.62%
 per 1 million people",1999
"Namibia","27.47%
 per 1 million people",2005
"Liberia","26.1%
 per 1 million people",2000
"West Bank","18.14%
 per 1 million people",2004
"Botswana","17.1%
 per 1 million people",2003
"Trinidad and Tobago","16.09%
 per 1 million people",2007
"Estonia","15.07%
 per 1 million people",2008
"Mongolia","14.36%
 per 1 million people",2004
"Mauritania","13.42%
 per 1 million people",2004
"Sierra Leone","13.15%
 per 1 million people",2004
"Eritrea","11.82%
 per 1 million people",2004
"Burundi","9.97%
 per 1 million people",2002
"Haiti","9.65%
 per 1 million people",2003
"Zambia","9.46%
 per 1 million people",1993
"Chad","9.41%
 per 1 million people",2001
"Nicaragua","9.32%
 per 1 million people",2005
"Armenia","8.81%
 per 1 million people",2006
"Tajikistan","8.48%
 per 1 million people",2007
"Panama","8.4%
 per 1 million people",2010
"Togo","8.32%
 per 1 million people",1989
"Uruguay","8.27%
 per 1 million people",2006
"Kyrgyzstan","7.85%
 per 1 million people",2004
"Moldova","7.61%
 per 1 million people",2005
"Lebanon","7.51%
 per 1 million people",1999
"Honduras","7.19%
 per 1 million people",2004
