Country,Amount,Date
"Iraq","9.56",2014
"Pakistan","9.05",2014
"Afghanistan","8.67",2014
"India","8.15",2014
"Yemen","7.3",2014
"Somalia","7.24",2014
"Nigeria","7.24",2014
"Thailand","7.09",2014
"Russia","7.07",2014
"Philippines","6.8",2014
"Sudan","6.3",2014
"Democratic Republic of the Congo","6.18",2014
"Colombia","6.05",2014
"Syria","5.86",2014
"Algeria","5.83",2014
"Sri Lanka","5.68",2014
"Iran","5.63",2014
"Kenya","5.27",2014
"Turkey","5.24",2014
"Israel","5.16",2014
"Norway","5.03",2014
"Nepal","5.02",2014
"China","4.99",2014
"Burundi","4.9",2014
"Central African Republic","4.84",2014
"Tajikistan","4.6",2014
"Egypt","4.58",2014
"United Kingdom","4.51",2014
"Indonesia","4.5",2014
"Uganda","4.49",2014
"Lebanon","4.48",2014
"Belarus","4.26",2014
"Cote d'Ivoire","3.99",2014
"Eritrea","3.92",2014
"Senegal","3.86",2014
"Ethiopia","3.73",2014
"Rwanda","3.73",2014
"Bangladesh","3.67",2014
"Morocco","3.6",2014
"United States","3.57",2014
"Georgia","3.43",2014
"Mali","3.39",2014
"Niger","3.27",2014
"Spain","3.09",2014
"Chad","3.01",2014
"Kazakhstan","2.8",2014
"Saudi Arabia","2.71",2014
"Qatar","2.68",2014
"Chile","2.64",2014
"Cameroon","2.63",2014
"Peru","2.49",2014
"Tunisia","2.36",2014
"Mauritania","2.18",2014
"Paraguay","2.17",2014
"Ukraine","2.16",2014
"Italy","2.07",2014
"Netherlands","2.04",2014
"Greece","2.02",2014
"Mexico","2.01",2014
"Sweden","1.75",2014
"Germany","1.74",2014
"France","1.73",2014
"Australia","1.72",2014
"Angola","1.7",2014
"Venezuela","1.62",2014
"Argentina","1.48",2014
"Ireland","1.46",2014
"Austria","1.41",2014
"Bosnia and Herzegovina","1.37",2014
"Zimbabwe","1.36",2014
"Bhutan","1.24",2014
"Honduras","1.23",2014
"Canada","1.18",2014
"Switzerland","1.17",2014
"Serbia","1.17",2014
"Portugal","1.13",2014
"Denmark","1.13",2014
"Moldova","0.992",2014
"Guyana","0.976",2014
"Azerbaijan","0.867",2014
"Bulgaria","0.741",2014
"Ecuador","0.679",2014
"Republic of Macedonia","0.624",2014
"Bahrain","0.616",2014
"Uzbekistan","0.585",2014
"Jordan","0.585",2014
"Czech Republic","0.522",2014
"Madagascar","0.435",2014
"Malaysia","0.415",2014
"Bolivia","0.415",2014
"Kyrgyzstan","0.395",2014
"Libya","0.346",2014
"Hungary","0.277",2014
"Equatorial Guinea","0.217",2014
"Mozambique","0.203",2014
"Armenia","0.188",2014
"Estonia","0.158",2014
"Guinea-Bissau","0.158",2014
"Kuwait","0.158",2014
"Tanzania","0.119",2014
"Cambodia","0.119",2014
"Albania","0.119",2014
"New Zealand","0.079",2014
"United Arab Emirates","0.079",2014
"Haiti","0.074",2014
"Finland","0.069",2014
"Belgium","0.069",2014
"Swaziland","0.059",2014
"Japan","0.059",2014
"South Africa","0.054",2014
"Cyprus","0.049",2014
"Lesotho","0.04",2014
"Benin","0.03",2014
"Papua New Guinea","0.01",2014
"Turkmenistan","0.0",2014
"Burkina Faso","0.0",2014
"Liberia","0.0",2014
"South Korea","0.0",2014
"Slovakia","0.0",2014
"Malawi","0.0",2014
"Republic of the Congo","0.0",2014
"Dominican Republic","0.0",2014
"Mauritius","0.0",2014
"Guinea","0.0",2014
"Panama","0.0",2014
"Costa Rica","0.0",2014
"El Salvador","0.0",2014
"Sierra Leone","0.0",2014
"Taiwan","0.0",2014
"Trinidad and Tobago","0.0",2014
"Botswana","0.0",2014
"Lithuania","0.0",2014
"Ghana","0.0",2014
"Slovenia","0.0",2014
"Oman","0.0",2014
"Gabon","0.0",2014
"Jamaica","0.0",2014
"Mongolia","0.0",2014
"Laos","0.0",2014
"Cuba","0.0",2014
"Vietnam","0.0",2014
"Romania","0.0",2014
"Latvia","0.0",2014
"Brazil","0.0",2014
"Gambia","0.0",2014
"Croatia","0.0",2014
"Uruguay","0.0",2014
"Djibouti","0.0",2014
"Nicaragua","0.0",2014
"Iceland","0.0",2014
"Zambia","0.0",2014
"Poland","0.0",2014
"North Korea","0.0",2014
"Singapore","0.0",2014
"Namibia","0.0",2014
